Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
CHA,Henderson,67%,10.1,10.7,-0.6,-4.1,-4.9,0.8,-0.2
PHO,Frye,51%,7.2,12.8,-5.6,8.2,-2.5,10.7,-0.2
NOH,Holiday,67%,14.6,17.3,-2.7,3.4,-1.2,4.6,-0.2
CHA,Walker,72%,13.7,13.8,-0.1,-4.6,-4,-0.6,-0.3
SAS,Duncan,47%,15.7,13.3,2.5,6.2,12.1,-6,-0.3
ATL,Carroll,65%,12.1,14.6,-2.5,5.7,2,3.7,-0.5
OKC,Westbrook,53%,18.1,15.8,2.3,-0.8,5.3,-6.2,-0.5
PHO,Green,52%,15.7,15.9,-0.3,2.3,3.7,-1.3,-0.6
IND,G.Hill,43%,12.7,14.7,-2,10.6,8.5,2.2,-0.6
HOU,Howard,72%,20.4,20.9,-0.5,2.2,3.2,-1,-0.7
ORL,Nelson,64%,10.6,14.1,-3.5,2,-3,5,-0.7
NYK,WorldPeace,45%,13.8,16,-2.1,-4.2,-6.2,2,-0.7
TOR,Gay,73%,16.6,12.7,3.9,-2.9,7.2,-10.1,-0.8
IND,Stephenson,70%,14.4,11.2,3.2,6.8,15.6,-8.8,-0.8
MEM,Prince,52%,9.2,14.3,-5.1,1.3,-6.3,7.7,-0.8
DAL,Calderon,67%,15.2,12.9,2.3,0.6,7.8,-7.2,-0.9
DET,Singler,46%,9,15.7,-6.7,2.4,-8.3,10.7,-0.9
BOS,Wallace,58%,10.5,13.4,-2.9,-2.3,-5.2,2.9,-0.9
BOS,Faverani,40%,16.7,17.7,-1,-4,-3.2,-0.8,-0.9
MIL,Mayo,68%,16.1,11.5,4.6,-12.4,0,-12.4,-1
MIN,Pekovic,67%,17,17.3,-0.2,7,10.6,-3.6,-1.4
CLE,Varejao,65%,15.9,19,-3.1,-6.1,-8.2,2.1,-1.4
OKC,Ibaka,68%,21.2,17.5,3.7,-1.6,9.8,-11.5,-1.4
UTA,Hayward,78%,18.2,15.3,3,-13.8,-3.7,-10.1,-1.4
NYK,Felton,73%,11.2,18.5,-7.3,-2.7,-12.3,9.5,-1.7
DET,Jennings,55%,19.6,18.6,1,-6.8,0.7,-7.5,-1.8
DET,Drummond,72%,23.3,22.5,0.9,-5.5,2,-7.5,-1.9
NOH,Smith,59%,16.1,22.1,-6,4.4,-1.7,6.1,-1.9
SAC,Thornton,59%,11.4,13.4,-2,-5.7,-3.8,-1.9,-2
PHI,Turner,74%,16.8,17.6,-0.8,-7.8,-2.4,-5.4,-2.3
BKN,Johnson,66%,11.7,18.1,-6.3,-3,-8,5.1,-2.5
PHI,Anderson,68%,11,18.1,-7.1,-4.3,-10.6,6.3,-2.7
DAL,Marion,66%,16.3,15.9,0.4,0,8.9,-8.9,-2.7
